STYLE	QUALITY	YEAR_BUILT	GLA	BSMT	Open Porch/deck/Roof Only	COV Porch&Deck	Enclosed	Foundation	Garage	Carport
9724	3	1981	1344	0	84	40	NULL	NULL	NULL	NULL
9724	3.5	1982	1344	0	164	NULL	NULL	1507	NULL	NULL
9724	4	1996	1614	0	40	NULL	NULL	1560	NULL	NULL
9612	1	1972	952	0	84	NULL	NULL	1507	NULL	NULL
9612	3	1993	1064	0	NULL	560	NULL	1507	NULL	NULL
9724	2.5	1975	1140	0	150	584	NULL	1560	NULL	NULL
9612	1	1972	899	0	16	NULL	NULL	1508	NULL	NULL
9728	2	1976	1440	0	24	NULL	NULL	1507	NULL	NULL
9614	3.5	1995	924	0	128	NULL	NULL	1560	NULL	NULL
9724	2.5	1974	1440	0	25	128	NULL	1559	NULL	NULL
9836	4.5	2005	2793	0	176	587	NULL	1559	NULL	NULL
9724	3.5	1995	2048	0	24	220	NULL	1513	NULL	NULL
9724	3	1978	980	0	NULL	300	NULL	1510	NULL	NULL
9724	4	1997	960	0	NULL	220	NULL	1559	NULL	NULL
9612	1	1970	672	0	NULL	NULL	160	1507	NULL	NULL
9612	2.5	1979	924	0	NULL	NULL	NULL	1507	NULL	NULL
9612	1	1972	624	0	48	NULL	NULL	1507	NULL	NULL
9612	1	1972	624	0	NULL	NULL	NULL	1507	NULL	NULL
9724	2.5	1973	1344	0	168	120	NULL	1513	NULL	NULL
9724	4	2000	1404	0	NULL	750	NULL	1559	NULL	NULL
9724	4	1998	960	0	NULL	76	NULL	1559	480	NULL
9724	4	1996	1568	0	352	NULL	NULL	1560	NULL	NULL
9612	2.5	1983	924	0	108	NULL	NULL	1507	NULL	NULL
9724	3.5	1984	1152	0	16	NULL	NULL	1560	NULL	NULL
9724	2.5	1970	1832	0	NULL	230	96	1512	NULL	NULL
9612	1	1969	490	0	20	NULL	NULL	1507	NULL	NULL
9612	1	1973	952	0	387	NULL	NULL	1510	NULL	NULL
9724	2	1969	1152	0	90	NULL	NULL	1510	NULL	NULL
9612	2.5	1984	952	0	NULL	32	NULL	1507	NULL	NULL
9612	2.5	1977	924	0	NULL	112	NULL	1507	NULL	NULL
9612	1	1972	938	0	84	NULL	NULL	1507	NULL	NULL
9724	2	1974	1440	0	64	NULL	NULL	1560	NULL	NULL
9612	3	1984	980	0	NULL	112	NULL	1510	NULL	NULL
9724	4	2000	1080	0	208	NULL	NULL	1559	NULL	NULL
9724	2.5	1972	1512	0	72	240	NULL	1560	NULL	NULL
9724	2	1968	1330	0	421	NULL	NULL	1560	NULL	NULL
9724	3	1981	1152	0	NULL	300	NULL	1559	NULL	NULL
9724	4	2006	1400	0	169	NULL	NULL	1559	NULL	NULL
9724	4	1996	960	0	20	NULL	NULL	1559	NULL	NULL
9724	4	1998	1624	0	200	NULL	NULL	1559	NULL	NULL
9612	2.5	1981	984	0	NULL	NULL	212	1507	NULL	NULL
9724	4	1990	1632	0	NULL	128	NULL	1559	NULL	NULL
9612	1	1975	960	0	24	NULL	NULL	1507	NULL	NULL
9612	1	1972	840	0	24	NULL	NULL	NULL	NULL	NULL
9724	4	2007	1392	0	168	128	NULL	1559	NULL	NULL
9612	2	1972	924	0	18	84	NULL	1510	NULL	NULL
9724	4.5	2008	1404	0	366	NULL	NULL	1559	NULL	2005
9612	2	1962	1126	0	NULL	80	NULL	NULL	NULL	NULL
9724	2	1973	1440	0	NULL	60	NULL	1510	NULL	NULL
9724	2.5	1972	1488	0	36	36	NULL	1559	NULL	NULL
9724	4	1995	1080	0	32	NULL	NULL	1559	NULL	2004
9724	3.5	1981	1558	0	NULL	512	NULL	1559	NULL	NULL
9612	1	1975	1124	0	NULL	144	NULL	1510	NULL	2005
9612	3	1982	924	0	NULL	110	NULL	1510	NULL	NULL
